AREOPORTO_PARTENZA,AREOPORTO_ARRIVO,PAESE_PART,ZONA,tot_investigati,tasso_allarme,alert_rate_alb,pct_respinto,pct_segnalato,anomaly_iso,anomaly_lof,anomaly_zscore,anomaly_consensus,n_flags,anomaly_score
lhr,nap,regno unito,6,1.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0.12314534678983324
kwi,mxp,kuwait,2,4.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0.12018029576087201
beg,mxp,serbia,2,5.0,0.2,0.25,0.0,0.2,0,0,0,0,0,0.12014074653082663
stn,vce,regno unito,4,66.0,0.15151515151515152,0.14545454545454545,0.17647058823529413,0.17647058823529413,0,0,0,0,0,0.11855307042225055
gla,fco,regno unito,5,1.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0.11812212927537447
lhr,mxp,regno unito,2,23.0,0.08695652173913043,0.13333333333333333,0.21428571428571427,0.2857142857142857,0,0,0,0,0,0.118100308124508
lhr,blq,regno unito,8,25.0,0.2,0.20833333333333334,0.2777777777777778,0.2222222222222222,0,0,0,0,0,0.11749056948304615
shj,bgy,emirati arabi uniti,2,54.0,0.09259259259259259,0.38461538461538464,0.18181818181818182,0.36363636363636365,0,0,0,0,0,0.11717071890393971
beg,bgy,serbia,2,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.11715128848873047
lcy,lin,regno unito,2,7.0,0.14285714285714285,0.14285714285714285,0.5,0.0,0,0,0,0,1,0.11488091340590496
tfu,fco,cina,5,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.11465346237844787
rmo,pmf,moldavia,8,1.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0.11409592655761187
tia,bds,albania,9,441.0,0.13151927437641722,0.12919896640826872,0.2222222222222222,0.1111111111111111,0,0,0,0,0,0.11332195067478402
jfk,fco,stati uniti,5,30.0,0.03333333333333333,0.037037037037037035,0.25,0.1875,0,0,0,0,0,0.11160201857536363
cun,mxp,messico,2,3.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0,0,1,0,0,0.11156215202203952
jfk,mxp,stati uniti,2,96.0,0.15625,0.16666666666666666,0.16279069767441862,0.2558139534883721,0,0,0,0,0,0.11119763447940616
beg,vce,serbia,4,6.0,0.3333333333333333,0.4,0.5,0.5,0,0,0,0,1,0.11059151760697045
lpl,cia,regno unito,5,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.1103120887000029
stn,blq,regno unito,8,74.0,0.13513513513513514,0.15151515151515152,0.2,0.28,0,0,0,0,0,0.11003769618888352
stn,fco,regno unito,5,3.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0.10939185050413758
ltn,cta,regno unito,7,4.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0.10889731010133867
mle,mxp,maldive,2,26.0,0.38461538461538464,0.38461538461538464,0.14285714285714285,0.35714285714285715,0,0,0,0,0,0.10813599692749393
lgw,nap,regno unito,6,12.0,0.25,0.125,0.0,0.4,0,0,0,0,0,0.10784794319552837
adb,mxp,turchia,2,5.0,0.4,0.0,0.25,0.0,0,0,0,0,0,0.1061728487207172
beg,blq,serbia,8,2.0,0.5,0.5,0.0,1.0,0,0,1,0,0,0.1056096919900394
mru,fco,mauritius,5,3.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.10508419083386249
mba,fco,kenya,5,3.0,0.0,0.0,0.0,0.75,0,0,0,0,0,0.10484922156545495
edi,mxp,regno unito,2,4.0,0.25,0.25,0.0,0.0,0,0,1,0,0,0.10484488407801862
tun,fco,tunisia,5,11.0,0.36363636363636365,0.4,0.25,0.125,0,0,0,0,0,0.10347941793913845
edi,bgy,regno unito,2,5.0,0.2,0.2,0.0,0.0,0,0,0,0,0,0.10287577555145948
rmo,bgy,moldavia,2,1.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0.10229106577324065
cmn,psa,marocco,8,3.0,0.3333333333333333,0.3333333333333333,0.0,0.5,0,0,0,0,0,0.10195367809732221
man,mxp,regno unito,2,22.0,0.22727272727272727,0.23809523809523808,0.25,0.0,0,0,0,0,0,0.10044062433663409
ist,bgy,turchia,2,3.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0,0,0,0,0,0.1001488694612462
rmo,vrn,moldavia,4,3.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0,0,0,0,0,0.09923562229064671
stn,psa,regno unito,8,63.0,0.20634920634920634,0.2,0.2413793103448276,0.034482758620689655,0,0,0,0,0,0.09919546598107616
stn,cta,regno unito,7,4.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0.09861101259252997
rmf,mxp,egitto,2,18.0,0.3888888888888889,0.3888888888888889,0.0,0.0,0,0,0,0,0,0.09747455437698926
ncl,bgy,regno unito,2,7.0,0.42857142857142855,0.5,0.25,0.5,0,0,0,0,0,0.09633901941886185
bhx,trn,regno unito,1,6.0,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666,0,0,0,0,0,0.09599860850649544
