OCCORRENZE,AREOPORTO_ARRIVO,AREOPORTO_PARTENZA,DATA_PARTENZA,CITTA_ARR,CITTA_PARTENZA,PAESE_PART,ZONA,TOT,MOTIVO_ALLARME,note_operatore,flag_rischio
voli solo visualizzati,fco,ist,2024-01-24 18:00:00,roma,istanbul,turchia,5,1,,,
voli con allarmi,mxp,sin,2024-01-18 23:45:00,milano,singapore,singapore,2,1,nsis,,
voli disponibili,fco,jfk,2024-01-18 19:35:00,roma,new york,stati uniti,5,1,sdi,,
viaggiatori investigati,vrn,stn,2024-01-06 17:40:00,verona,londra,regno unito,4,160,,,
allarmi generati,bri,tia,2024-01-08 20:05:00,bari,tirana,albania,9,1,sdi,,
viaggiatori investigati,bgy,dxb,2024-01-12 18:00:00,bergamo,dubai,emirati arabi uniti,2,142,sdi,,
viaggiatori con allarmi,nap,lgw,2024-02-26 15:50:00,napoli,londra,regno unito,6,10,interpol,,
voli investigati,mxp,sin,2024-02-17 23:45:00,milano,singapore,singapore,2,1,manuale,,
voli investigati,vce,stn,2024-02-05 07:20:00,venezia,londra,regno unito,4,1,,,
allarmi chiusi,fco,alg,2024-01-01 00:00:00,roma,algeri,algeria,5,13,interpol,,
voli disponibili,trn,edi,2024-01-21 07:00:00,torino,edinburgh,regno unito,1,1,,,
viaggiatori con allarmi,cia,rak,2024-01-06 06:05:00,roma,marrakech,marocco,5,18,tsc,,
voli investigati,bgy,stn,2024-02-17 13:45:00,bergamo,londra,regno unito,2,1,,,
viaggiatori investigati,mxp,sll,2024-02-26 00:00:00,milano,freetown,oman,2,357,manuale,,
voli disponibili,cia,tia,2024-02-05 12:15:00,roma,tirana,albania,5,1,interpol,alert manuale,
voli disponibili,mxp,jfk,2024-01-01 18:19:00,milano,new york,stati uniti,2,1,,,
voli investigati,bgy,stn,2024-02-20 07:30:00,bergamo,londra,regno unito,2,1,tsc,,
voli disponibili,fco,cai,2024-01-11 04:30:00,roma,cairo,egitto,5,1,nsis,,
viaggiatori entrati,pmo,dwc,2024-01-14 00:50:00,palermo,dubai,emirati arabi uniti,7,185,sdi,,
voli investigati,mxp,edi,2024-02-07 11:30:00,milano,edinburgh,regno unito,2,,tsc,,
voli disponibili,fco,del,2024-01-31 03:45:00,roma,nuova delhi,india,5,1,tsc,,
voli con allarmi,fco,tun,2024-01-02 11:25:00,roma,tunis,tunisia,5,1,tsc,,
viaggiatori entrati,cia,stn,2024-02-24 17:00:00,roma,londra,regno unito,5,159,nsis,,
viaggiatori entrati,aoi,tia,2024-02-18 11:15:00,ancona,tirana,albania,8,209,interpol,,
allarmi rilevanti,fco,cai,2024-02-14 00:00:00,roma,cairo,egitto,5,1,nsis,,
voli con allarmi,mxp,dxb,2024-02-16 09:05:00,milano,dubai,emirati arabi uniti,2,1,sdi,,
voli investigati,mxp,ist,2024-01-10 00:00:00,milano,istanbul,turchia,2,1,tsc,,
viaggiatori con allarmi,cia,stn,2024-01-20 06:20:00,roma,londra,regno unito,5,1,nsis,,
viaggiatori entrati,mxp,rmf,2024-01-04 13:25:00,milano,marsa alam,egitto,2,178,manuale,,alto
esito negativo,bgy,cai,2024-01-08 07:50:00,bergamo,cairo,egitto,2,45,manuale,,
viaggiatori con allarmi,mxp,tia,2024-01-16 19:50:00,milano,tirana,albania,2,32,sdi,,
viaggiatori investigati,bgy,ema,2024-01-01 00:00:00,bergamo,derby,regno unito,2,169,,,
allarmi chiusi,mxp,pek,2024-01-20 01:35:00,milano,pechino,cina,2,12,sdi,,
voli solo visualizzati,bgy,fez,2024-01-22 20:15:00,bergamo,fes,marocco,2,1,nsis,,
voli disponibili,fco,cmn,2024-02-13 13:00:00,roma,casablanca,marocco,5,1,sdi,,
viaggiatori investigati,bzo,fab,2024-01-01 00:00:00,bolzano,farnborough,regno unito,4,0,interpol,,
voli solo visualizzati,fco,gyd,2024-01-06 23:15:00,roma,baku,azerbaigian,5,1,interpol,,
voli disponibili,mxp,lhr,2024-01-07 17:00:00,milano,londra,regno unito,2,1,interpol,,
viaggiatori con allarmi,tsf,tia,2024-01-16 06:50:00,treviso,tirana,albania,4,7,,,
viaggiatori entrati,mxp,kwi,2024-01-03 08:25:00,milano,kuwait,kuwait,2,119,tsc,,
viaggiatori entrati,fco,doh,2024-02-26 15:35:00,roma,doha,qatar,5,267,nsis,,
viaggiatori investigati,lin,bqh,2024-02-27 15:00:00,milano,londra,regno unito,2,0,tsc,,
voli investigati,bgy,tia,2024-01-05 14:50:00,bergamo,tirana,albania,2,1,interpol,,
