OCCORRENZE,AREOPORTO_ARRIVO,AREOPORTO_PARTENZA,DATA_PARTENZA,CITTA_ARR,CITTA_PARTENZA,PAESE_PART,ZONA,TOT,MOTIVO_ALLARME,note_operatore,flag_rischio
viaggiatori investigati,bgy,ssh,2024-01-06 22:30:00,bergamo,sharm el sheikh,egitto,2,192,interpol,,
voli solo visualizzati,mxp,lhr,2024-01-30 09:20:00,milano,londra,regno unito,2,1,tsc,,
viaggiatori entrati,trn,man,2024-01-07 07:50:00,torino,manchester,regno unito,1,146,tsc,,
voli disponibili,fco,bey,2024-02-26 06:10:00,roma,beirut,libano,5,1,interpol,,
voli disponibili,mxp,cai,2024-02-06 13:30:00,milano,cairo,egitto,2,1,tsc,,
voli disponibili,cia,man,2024-01-12 06:45:00,roma,manchester,regno unito,5,1,,,
mancato aggiornamento,bri,ist,2024-02-28 19:25:00,bari,istanbul,turchia,9,1,nsis,,
voli solo visualizzati,mxp,auh,2024-01-30 03:10:00,milano,abu dhabi,emirati arabi uniti,2,1,tsc,,
viaggiatori entrati,mxp,evn,2024-02-16 11:00:00,milano,yerevan,armenia,2,155,,,
voli con allarmi,mxp,amm,2024-01-27 10:45:00,milano,amman,giordania,2,1,manuale,,
voli investigati,vce,lgw,2024-02-10 09:10:00,venezia,londra,regno unito,4,1,,,
voli disponibili,mxp,szx,2024-01-24 01:55:00,milano,shenzhen,cina,2,1,tsc,,
voli solo visualizzati,vce,lgw,2024-02-09 16:20:00,venezia,londra,regno unito,4,1,,passeggero noto,
voli solo visualizzati,fco,add,2024-01-08 22:50:00,roma,addis ababa,etiopia,5,1,tsc,,
voli disponibili,nap,ssh,2024-02-06 19:25:00,napoli,sharm el sheikh,egitto,6,1,manuale,,
allarmi generati,vce,stn,2024-01-15 15:10:00,venezia,londra,regno unito,4,6,tsc,,
voli investigati,trn,man,2024-02-03 06:50:00,torino,manchester,regno unito,1,1,tsc,,
voli investigati,mxp,kiv,2024-01-02 10:00:00,milano,chisinau,moldavia,2,1,interpol,,
voli disponibili,mxp,lhr,2024-02-08 17:00:00,milano,londra,regno unito,2,1,tsc,,
voli investigati,vce,evn,2024-02-23 20:45:00,venezia,yerevan,armenia,4,1,tsc,,
voli solo visualizzati,mxp,add,2024-02-04 00:05:00,milano,addis abeba,etiopia,2,1,tsc,,
allarmi generati,trn,tia,2024-01-20 06:55:00,torino,tirana,albania,1,25,,,
voli solo visualizzati,mxp,sin,2024-01-18 23:45:00,milano,singapore,singapore,2,1,manuale,,
esito negativo,psa,lhr,2024-02-05 08:00:00,pisa,londra,regno unito,8,3,sdi,,
viaggiatori investigati,vce,stn,2024-02-24 18:45:00,venezia,londra,regno unito,4,163,manuale,,
voli investigati,trn,tia,2024-01-30 06:55:00,torino,tirana,albania,1,1,sdi,,
voli solo visualizzati,fco,sid,2024-01-10 16:15:00,roma,sal,capo verde,5,1,nsis,,
allarmi generati,fco,bey,2024-01-17 06:05:00,roma,beirut,libano,5,4,nsis,,
viaggiatori investigati,psa,lgw,2024-02-09 07:40:00,pisa,londra,regno unito,8,153,interpol,,
viaggiatori investigati,mxp,lgw,2024-02-12 08:55:00,milano,londra,regno unito,2,176,sdi,,
viaggiatori investigati,vrn,tia,2024-01-10 12:00:00,verona,tirana,albania,4,167,manuale,,
viaggiatori investigati,trn,gla,2024-02-18 07:50:00,torino,glasgow,regno unito,1,165,tsc,,
voli investigati,nap,rak,2024-01-11 18:05:00,napoli,marrakech,marocco,6,1,tsc,,
voli disponibili,vce,dxb,2024-01-08 09:35:00,venezia,dubai,emirati arabi uniti,4,1,nsis,,
allarmi chiusi,fco,auh,2024-02-03 14:40:00,roma,abu dhabi,emirati arabi uniti,5,12,,,
allarmi generati,blq,lhr,2024-02-11 15:20:00,bologna,londra,regno unito,8,2,,,
viaggiatori investigati,mxp,tun,2024-01-14 07:45:00,milano,tunis,tunisia,2,123,manuale,,
viaggiatori investigati,fco,tun,2024-01-05 19:05:00,roma,tunis,tunisia,5,147,,,
voli investigati,psr,stn,2024-02-16 17:50:00,pescara,londra,regno unito,9,1,nsis,,
voli investigati,mxp,beg,2024-02-20 07:00:00,milano,belgrado,serbia,2,1,manuale,,
viaggiatori investigati,fco,cai,2024-02-12 04:30:00,roma,cairo,egitto,5,0,,,
viaggiatori con allarmi,blq,tia,2024-01-23 18:10:00,bologna,tirana,albania,8,32,tsc,,
voli investigati,bgy,shj,2024-01-20 22:10:00,bergamo,sharjah,emirati arabi uniti,2,1,,,
viaggiatori investigati,fco,gru,2024-02-12 20:40:00,roma,san paolo,brasile,5,268,manuale,,
allarmi rilevanti,blq,ist,2024-02-16 17:35:00,bologna,istanbul,turchia,8,1,,,
voli investigati,blq,kiv,2024-01-15 20:00:00,bologna,chisinau,moldavia,8,1,interpol,,
viaggiatori entrati,nap,lgw,2024-01-01 00:00:00,napoli,londra,regno unito,6,115,manuale,,
esito negativo,fco,cai,2024-01-01 10:00:00,roma,cairo,egitto,5,6,,,
viaggiatori investigati,vce,lhr,2024-01-05 08:35:00,venezia,londra,regno unito,4,134,interpol,,
viaggiatori entrati,blq,lhr,2024-01-30 00:00:00,bologna,londra,regno unito,8,130,interpol,,
viaggiatori con allarmi,cta,cmn,2024-01-20 21:50:00,catania,casablanca,marocco,7,28,,,
voli solo visualizzati,fco,tpe,2024-02-25 23:25:00,roma,taipei,taiwan,5,1,tsc,,
allarmi non chiusi,fco,jed,2024-02-09 22:00:00,roma,jeddah,arabia saudita,5,1,,,
voli solo visualizzati,mxp,ssh,2024-02-21 14:10:00,milano,sharm el sheikh,egitto,2,1,manuale,,
viaggiatori entrati,fco,cai,2024-01-13 10:00:00,roma,cairo,egitto,5,82,manuale,,
viaggiatori con allarmi,fco,lhr,2024-01-26 00:00:00,roma,londra,regno unito,5,2,nsis,,
voli con allarmi,mxp,bah,2024-01-18 01:40:00,milano,manama,bahrain,2,1,,,
voli disponibili,fco,cai,2024-02-06 17:55:00,roma,cairo,egitto,5,1,,,
esito negativo,fco,jed,2024-02-24 10:20:00,roma,jeddah,arabia saudita,5,6,manuale,,
allarmi generati,fco,jfk,2024-01-30 21:00:00,roma,new york,stati uniti,5,12,sdi,,
allarmi chiusi,mxp,tia,2024-01-11 06:20:00,milano,tirana,albania,2,1,sdi,,
voli solo visualizzati,vce,ist,2024-02-11 13:05:00,venezia,istanbul,turchia,4,1,manuale,,
viaggiatori entrati,mxp,tia,2024-01-27 06:20:00,milano,tirana,albania,2,212,sdi,,
voli investigati,vce,stn,2024-01-13 11:35:00,venezia,londra,regno unito,4,1,nsis,,
allarmi generati,rmi,tia,2024-02-27 06:30:00,rimini,tirana,albania,8,22,sdi,,
allarmi rilevanti,mxp,tun,2024-01-21 14:55:00,milano,tunis,tunisia,2,1,sdi,,
voli con allarmi,bgy,saw,2024-02-03 14:00:00,bergamo,istanbul,turchia,2,1,interpol,,
voli con allarmi,cta,tia,2024-01-05 18:20:00,catania,tirana,albania,7,1,nsis,,
voli disponibili,cia,bqh,2024-02-01 00:00:00,roma,londra,regno unito,5,1,manuale,,
voli disponibili,bgy,amm,2024-01-23 21:00:00,bergamo,amman,giordania,2,1,,,
voli solo visualizzati,mxp,doh,2024-01-03 00:00:00,milano,doha,qatar,2,1,manuale,,
voli con allarmi,bri,tia,2024-01-14 20:55:00,bari,tirana,albania,9,1,manuale,,
viaggiatori entrati,mxp,ewr,2024-01-27 18:05:00,milano,newark,stati uniti,2,211,tsc,,
voli con allarmi,fco,lgw,2024-02-22 21:50:00,roma,londra,regno unito,5,1,,,
allarmi generati,bgy,cmn,2024-01-25 07:00:00,bergamo,casablanca,marocco,2,51,,,
allarmi generati,vce,stn,2024-01-14 18:35:00,venezia,londra,regno unito,4,2,manuale,,
voli investigati,fco,beg,2024-02-20 07:15:00,roma,belgrado,serbia,5,1,,,
voli disponibili,vce,lgw,2024-01-18 07:00:00,venezia,londra,regno unito,4,1,tsc,,
viaggiatori investigati,vce,man,2024-01-14 07:45:00,venezia,manchester,regno unito,4,72,tsc,,
voli con allarmi,mxp,ssh,2024-01-21 15:55:00,milano,sharm el sheikh,egitto,2,1,nsis,,
voli investigati,cta,dxb,2024-02-02 07:35:00,catania,dubai,emirati arabi uniti,7,1,sdi,,
viaggiatori con allarmi,psa,tia,2024-01-30 07:10:00,pisa,tirana,albania,8,16,manuale,,
voli investigati,mxp,kwi,2024-01-04 08:25:00,milano,kuwait city,kuwait,,1,,,
viaggiatori con allarmi,goa,tia,2024-02-16 21:00:00,genova,tirana,albania,1,22,nsis,,
allarmi generati,trn,tia,2024-01-07 06:55:00,torino,tirana,albania,1,39,,,
allarmi generati,fco,saw,2024-01-03 15:35:00,roma,istanbul,turchia,5,15,manuale,,
viaggiatori investigati,mxp,ist,2024-01-06 20:30:00,milano,istanbul,turchia,2,178,sdi,,
esito negativo,mxp,stn,2024-02-24 08:15:00,milano,londra,regno unito,2,1,nsis,,
voli solo visualizzati,lin,lhr,2024-02-23 12:05:00,milano,londra,regno unito,2,1,,,
allarmi generati,cia,man,2024-02-20 16:30:00,roma,manchester,regno unito,5,6,interpol,,
viaggiatori con allarmi,psa,tia,2024-02-24 06:50:00,pisa,tirana,albania,8,15,interpol,,
voli disponibili,cta,tia,2024-02-01 00:00:00,catania,tirana,albania,7,1,interpol,,
voli disponibili,tsf,ltn,2024-02-28 13:45:00,treviso,londra,regno unito,4,1,,,
allarmi rilevanti,blq,dxb,2024-01-16 08:55:00,bologna,dubai,emirati arabi uniti,8,2,interpol,,
voli disponibili,tsf,tia,2024-01-16 20:20:00,treviso,tirana,albania,4,1,manuale,,
esito negativo,nap,ssh,2024-01-31 13:05:00,napoli,sharm el sheikh,egitto,6,16,manuale,,
esito negativo,blq,ltn,2024-02-23 00:00:00,bologna,londra,regno unito,8,5,manuale,,
voli investigati,fco,ewr,2024-01-23 17:40:00,roma,newark,stati uniti,5,1,tsc,,
viaggiatori investigati,mxp,cmn,2024-01-13 13:00:00,milano,casablanca,marocco,2,162,tsc,,
voli con allarmi,mxp,gyd,2024-01-27 07:30:00,milano,baku,azerbaigian,2,1,nsis,,
voli solo visualizzati,mxp,wnz,2024-01-25 12:40:00,milano,wenzhou,cina,2,,,,
voli investigati,goa,stn,2024-02-17 14:05:00,genova,londra,regno unito,1,1,sdi,,
voli disponibili,vce,man,2024-02-10 17:05:00,venezia,manchester,regno unito,4,1,tsc,,
viaggiatori investigati,vce,lhr,2024-02-19 18:10:00,venezia,londra,regno unito,4,119,,,
voli solo visualizzati,mxp,beg,2024-01-13 07:00:00,milano,belgrado,serbia,2,1,nsis,,
allarmi rilevanti,blq,dxb,2024-02-05 08:55:00,bologna,dubai,emirati arabi uniti,8,3,interpol,,
viaggiatori entrati,lin,lhr,2024-01-12 15:00:00,milano,londra,regno unito,2,141,manuale,,
viaggiatori con allarmi,fco,ist,2024-02-27 09:15:00,roma,istanbul,turchia,5,7,interpol,,
voli solo visualizzati,fco,lhr,2024-02-20 07:05:00,roma,londra,regno unito,5,1,nsis,,
allarmi chiusi,nap,ist,2024-01-24 08:00:00,napoli,istanbul,turchia,6,5,nsis,,
viaggiatori investigati,trn,lgw,2024-06-01 00:00:00,torino,londra,regno unito,1,184,,,
allarmi generati,bgy,fez,2024-01-07 19:05:00,bergamo,fes,marocco,2,28,nsis,,
voli investigati,fco,dxb,2024-02-19 08:55:00,roma,dubai,emirati arabi uniti,5,1,interpol,,
allarmi chiusi,fco,gru,2024-01-02 18:00:00,roma,san paolo,brasile,5,6,interpol,,
allarmi rilevanti,bgy,stn,2024-01-23 10:10:00,bergamo,londra,regno unito,2,1,tsc,,
viaggiatori con allarmi,bgy,tia,2024-02-05 08:25:00,bergamo,tirana,albania,2,,nsis,,
voli investigati,vce,stn,2024-01-13 07:55:00,venezia,londra,regno unito,4,1,sdi,,
voli con allarmi,cia,man,2024-01-08 07:10:00,roma,manchester,regno unito,5,1,sdi,,
voli disponibili,bgy,stn,2024-02-09 19:05:00,bergamo,londra,regno unito,2,1,sdi,,
voli disponibili,fco,rmo,2024-02-01 06:00:00,roma,chisinau,moldavia,5,1,manuale,,
viaggiatori investigati,mxp,jfk,2024-02-04 20:00:00,milano,new york,stati uniti,2,238,nsis,,
allarmi generati,mxp,jfk,2024-02-11 22:20:00,milano,new york,stati uniti,2,3,interpol,,
viaggiatori investigati,cia,stn,2024-01-30 06:00:00,roma,londra,regno unito,5,122,interpol,,
viaggiatori investigati,nap,lgw,2024-01-05 16:25:00,napoli,londra,regno unito,6,157,tsc,,
voli solo visualizzati,mxp,ewr,2024-01-18 21:50:00,milano,newark,stati uniti,2,1,tsc,,
viaggiatori entrati,cta,tia,2024-01-01 17:00:00,catania,tirana,albania,7,138,,,
allarmi generati,fco,beg,2024-01-20 06:45:00,roma,belgrado,serbia,5,2,sdi,,
voli con allarmi,mxp,tia,2024-01-05 00:00:00,milano,tirana,albania,2,,tsc,,
allarmi chiusi,bgy,rak,2024-02-15 14:15:00,bergamo,marrakech,marocco,2,10,nsis,,
voli con allarmi,bgy,saw,2024-01-06 10:35:00,bergamo,istanbul,turchia,2,1,manuale,,
voli investigati,fco,cai,2024-01-10 00:00:00,roma,cairo,egitto,5,1,,,
voli solo visualizzati,bri,stn,2024-02-03 06:50:00,bari,londra,regno unito,9,1,nsis,,
allarmi generati,flr,lgw,2024-01-29 15:05:00,firenze,londra,regno unito,8,4,,,
voli investigati,mxp,ist,2024-02-17 15:50:00,milano,istanbul,turchia,2,1,nsis,,
viaggiatori entrati,mxp,cmn,2024-01-21 13:00:00,milano,casablanca,marocco,2,153,nsis,,
voli solo visualizzati,fco,alg,2024-01-06 10:30:00,roma,algeri,algeria,5,2,interpol,verifica richiesta,
viaggiatori entrati,mxp,del,2024-03-01 00:00:00,milano,nuova delhi,india,2,264,interpol,,
voli con allarmi,fco,mba,2024-01-04 11:00:00,roma,mombasa,kenya,5,1,nsis,,
viaggiatori investigati,vce,edi,2024-01-16 15:00:00,venezia,edinburgh,regno unito,4,153,nsis,,
viaggiatori con allarmi,fco,lgw,2024-01-20 10:00:00,roma,londra,regno unito,5,3,interpol,,
voli solo visualizzati,mxp,tgd,2024-02-24 16:35:00,milano,podgorica,montenegro,2,1,,,
allarmi generati,vce,stn,2024-02-19 15:10:00,venezia,londra,regno unito,4,7,tsc,,
voli solo visualizzati,bgy,tia,2024-02-21 20:35:00,bergamo,tirana,albania,2,1,sdi,,
viaggiatori entrati,nap,dxb,2024-01-22 07:30:00,napoli,dubai,emirati arabi uniti,6,125,manuale,,
viaggiatori con allarmi,mxp,jed,2024-01-30 10:15:00,milano,jeddah,arabia saudita,2,19,interpol,,
voli disponibili,nap,lgw,2024-02-18 14:25:00,napoli,londra,regno unito,,1,nsis,,
voli investigati,trn,ema,2024-01-28 07:25:00,torino,derby,regno unito,1,1,manuale,,
esito negativo,vce,dxb,2024-02-27 09:35:00,venezia,dubai,emirati arabi uniti,4,38,interpol,,
voli con allarmi,vce,dxb,2024-01-28 09:35:00,venezia,dubai,emirati arabi uniti,4,1,,,
viaggiatori investigati,mxp,cai,2024-01-08 10:00:00,milano,cairo,egitto,2,165,nsis,verifica richiesta,
voli solo visualizzati,mxp,gyd,2024-02-07 07:30:00,milano,baku,azerbaigian,2,1,,,
allarmi rilevanti,cia,tia,2024-01-15 12:15:00,roma,tirana,albania,5,1,nsis,,
viaggiatori investigati,vce,man,2024-01-26 11:30:00,venezia,manchester,regno unito,4,186,tsc,,
viaggiatori investigati,nap,lgw,2024-01-05 00:00:00,napoli,londra,regno unito,6,159,,,
voli investigati,vce,man,2024-02-23 07:00:00,venezia,manchester,regno unito,4,1,manuale,,
allarmi generati,mxp,lhr,2024-02-23 17:00:00,milano,londra,regno unito,2,6,nsis,,
voli disponibili,fco,cai,2024-01-26 10:00:00,roma,cairo,egitto,5,1,nsis,,
esito negativo,fco,ruh,2024-02-26 09:30:00,roma,riyadh,arabia saudita,5,1,manuale,,
viaggiatori entrati,blq,tun,2024-02-03 08:00:00,bologna,tunis,tunisia,8,74,manuale,,
esito negativo,mxp,ist,2024-01-22 12:35:00,milano,istanbul,turchia,2,1,manuale,,
viaggiatori con allarmi,fco,rmo,2024-02-29 11:45:00,roma,chisinau,moldavia,5,7,,,
allarmi chiusi,fco,cmn,2024-02-17 13:00:00,roma,casablanca,marocco,5,34,interpol,,
voli con allarmi,mxp,lgw,2024-02-18 21:15:00,milano,londra,regno unito,2,1,tsc,,
voli con allarmi,fco,jfk,2024-02-25 21:00:00,roma,new york,stati uniti,5,1,tsc,,
voli con allarmi,fco,lhr,2024-01-11 18:25:00,roma,londra,regno unito,5,1,sdi,,
voli investigati,trs,stn,2024-01-20 18:05:00,trieste,londra,regno unito,4,1,,,
voli investigati,trn,tia,2024-02-11 06:55:00,torino,tirana,albania,1,1,sdi,,
voli disponibili,lin,lcy,2024-02-16 00:00:00,milano,londra,regno unito,2,1,,,
viaggiatori con allarmi,mxp,ika,2024-02-11 08:50:00,milano,tehran,iran,2,11,tsc,,
voli con allarmi,mxp,hkg,2024-01-29 00:50:00,milano,hong kong,hong kong,2,1,,,
viaggiatori entrati,mxp,stn,2024-01-05 19:25:00,milano,londra,regno unito,2,165,sdi,,
voli disponibili,fco,eze,2024-02-03 13:45:00,roma,buenos aires,argentina,5,1,interpol,,
voli solo visualizzati,fco,saw,2024-02-04 15:35:00,roma,istanbul,turchia,5,1,nsis,,
viaggiatori entrati,vce,lhr,2024-02-26 00:00:00,venezia,londra,regno unito,4,107,,,
voli solo visualizzati,fco,evn,2024-02-12 03:40:00,roma,yerevan,armenia,5,1,nsis,,
voli investigati,nap,ssh,2024-01-05 14:55:00,napoli,sharm el sheikh,egitto,6,1,,,
voli con allarmi,mxp,doh,2024-02-05 15:30:00,milano,doha,qatar,2,1,tsc,,
esito negativo,trn,tia,2024-02-08 06:55:00,torino,tirana,albania,1,18,nsis,,
voli investigati,blq,ist,2024-02-05 09:25:00,bologna,istanbul,turchia,8,,tsc,,
viaggiatori investigati,fco,man,2024-02-25 16:55:00,roma,manchester,regno unito,5,0,interpol,,
voli con allarmi,bgy,man,2024-01-06 08:25:00,bergamo,manchester,regno unito,2,1,nsis,,
voli disponibili,blq,cmn,2024-01-06 12:50:00,bologna,casablanca,marocco,8,1,tsc,,
voli disponibili,fco,cai,2024-01-10 17:55:00,roma,cairo,egitto,5,2,interpol,,
viaggiatori con allarmi,fco,saw,2024-01-17 10:40:00,roma,istanbul,turchia,5,2,nsis,,
viaggiatori entrati,fco,auh,2024-02-19 14:40:00,roma,abu dhabi,emirati arabi uniti,5,285,interpol,,
viaggiatori con allarmi,trn,stn,2024-01-25 06:30:00,torino,londra,regno unito,1,8,tsc,,
esito negativo,fco,doh,2024-01-04 09:15:00,roma,doha,qatar,5,14,manuale,,
allarmi generati,vce,evn,2024-02-19 20:45:00,venezia,yerevan,armenia,4,6,sdi,,
allarmi rilevanti,mxp,tpe,2024-01-23 23:05:00,milano,taipei,taiwan,2,2,sdi,,
viaggiatori investigati,cia,man,2024-02-24 15:15:00,roma,manchester,regno unito,5,178,tsc,,
viaggiatori investigati,tsf,amm,2024-01-04 14:50:00,treviso,amman,giordania,4,181,manuale,,
viaggiatori investigati,lin,lhr,2024-02-07 10:30:00,milano,londra,regno unito,2,149,tsc,,
voli solo visualizzati,nap,stn,2024-01-30 09:45:00,napoli,londra,regno unito,6,1,nsis,,
voli con allarmi,bgy,stn,2024-02-08 13:15:00,bergamo,londra,regno unito,2,1,sdi,,
viaggiatori con allarmi,mxp,cai,2024-01-18 14:00:00,milano,cairo,egitto,2,32,manuale,,
viaggiatori entrati,mxp,ewr,2024-01-01 21:50:00,milano,newark,stati uniti,2,31,sdi,,
voli investigati,vrn,bqh,2024-01-28 09:48:00,verona,londra,regno unito,4,1,nsis,,
voli solo visualizzati,fco,auh,2024-01-22 02:25:00,roma,abu dhabi,emirati arabi uniti,5,1,,,
voli solo visualizzati,vrn,lgw,2024-02-24 08:10:00,verona,londra,regno unito,4,1,sdi,,
allarmi generati,fco,phl,2024-01-11 18:45:00,roma,filadelfia,stati uniti,5,4,sdi,,
voli disponibili,vce,lgw,2024-01-02 19:55:00,venezia,londra,regno unito,4,1,interpol,,
allarmi chiusi,blq,ist,2024-01-28 17:35:00,bologna,istanbul,turchia,8,20,manuale,,
viaggiatori investigati,mxp,auh,2024-02-09 14:45:00,milano,abu dhabi,emirati arabi uniti,2,321,interpol,,
allarmi generati,bgy,stn,2024-02-06 10:10:00,bergamo,londra,regno unito,2,3,,,
viaggiatori con allarmi,cia,stn,2024-02-28 09:25:00,roma,londra,regno unito,5,2,nsis,,
allarmi chiusi,lin,lhr,2024-01-14 18:35:00,milano,londra,regno unito,2,7,interpol,,
viaggiatori entrati,fco,mex,2024-02-09 20:40:00,roma,citta del messico,messico,5,247,,,
viaggiatori investigati,mxp,pek,2024-02-18 01:35:00,milano,pechino,cina,2,279,tsc,,
voli solo visualizzati,fco,dxb,2024-01-27 08:55:00,roma,dubai,emirati arabi uniti,5,1,,,
voli investigati,bgy,tia,2024-02-05 06:10:00,bergamo,tirana,albania,2,1,interpol,,
allarmi generati,mxp,pek,2024-01-09 01:35:00,milano,pechino,cina,2,11,sdi,,
voli investigati,aoi,stn,2024-01-19 18:25:00,ancona,londra,regno unito,8,1,nsis,,
voli disponibili,mxp,stn,2024-02-07 13:55:00,milano,londra,regno unito,2,1,,,
allarmi generati,blq,man,2024-01-14 11:40:00,bologna,manchester,regno unito,8,19,manuale,,
voli con allarmi,fco,alg,2024-02-24 00:00:00,roma,algeri,algeria,5,1,,,
allarmi generati,tsf,ltn,2024-02-14 13:45:00,treviso,londra,regno unito,4,11,nsis,,
viaggiatori entrati,blq,stn,2024-01-07 08:00:00,bologna,londra,regno unito,8,145,nsis,,
voli solo visualizzati,cta,lgw,2024-02-06 07:30:00,catania,londra,regno unito,7,1,nsis,,
voli disponibili,bgy,edi,2024-01-08 06:45:00,bergamo,edinburgh,regno unito,2,1,,,
voli disponibili,fco,ist,2024-01-05 17:55:00,roma,istanbul,turchia,5,1,tsc,,
viaggiatori entrati,fco,rak,2024-02-16 10:20:00,roma,marrakech,marocco,5,217,nsis,,
viaggiatori entrati,fco,del,2024-01-21 03:45:00,roma,nuova delhi,india,5,241,manuale,,
voli con allarmi,aoi,stn,2024-01-29 18:25:00,ancona,londra,regno unito,8,1,,,
viaggiatori investigati,fco,jfk,2024-01-08 21:00:00,roma,new york,stati uniti,5,261,nsis,,
viaggiatori entrati,vce,ssh,2024-01-04 20:00:00,venezia,sharm el sheikh,egitto,4,216,nsis,,
allarmi chiusi,fco,znz,2024-02-21 08:30:00,roma,zanzibar,tanzania,5,22,manuale,,
voli con allarmi,cta,tia,2024-02-23 18:20:00,catania,tirana,albania,7,1,sdi,,
esito negativo,psa,tia,2024-01-07 07:30:00,pisa,tirana,albania,8,18,sdi,,
allarmi chiusi,mxp,ist,2024-02-04 20:30:00,milano,istanbul,turchia,2,8,tsc,,
viaggiatori entrati,mxp,ewr,2024-02-09 18:05:00,milano,newark,stati uniti,2,233,nsis,,
viaggiatori entrati,fco,spx,2024-01-21 10:50:00,roma,giza,egitto,5,165,,,
viaggiatori entrati,blq,stn,2024-02-01 12:05:00,bologna,londra,regno unito,8,170,tsc,,
voli solo visualizzati,fco,lhr,2024-01-06 16:00:00,roma,londra,regno unito,5,1,sdi,,
voli con allarmi,mxp,ist,2024-02-06 15:50:00,milano,istanbul,turchia,2,1,,,
esito negativo,bri,tia,2024-01-31 11:35:00,bari,tirana,albania,9,15,nsis,,
voli solo visualizzati,bgy,amm,2024-02-29 22:20:00,bergamo,amman,giordania,2,1,tsc,,
viaggiatori con allarmi,vrn,tia,2024-01-25 13:20:00,verona,tirana,albania,4,26,,,
voli investigati,bgy,stn,2024-02-04 06:10:00,bergamo,londra,regno unito,2,1,interpol,,
allarmi chiusi,fco,jfk,2024-01-22 21:00:00,roma,new york,stati uniti,5,8,nsis,,
voli solo visualizzati,fco,cai,2024-01-27 10:00:00,roma,cairo,egitto,5,1,manuale,,
voli disponibili,aoi,tia,2024-01-07 11:15:00,ancona,tirana,albania,8,1,interpol,,
viaggiatori con allarmi,fco,auh,2024-01-29 14:40:00,roma,abu dhabi,emirati arabi uniti,5,15,manuale,,
voli con allarmi,vce,brs,2024-01-01 11:40:00,venezia,bristol,regno unito,4,1,interpol,,
voli con allarmi,fco,cai,2024-01-15 11:00:00,roma,cairo,egitto,5,1,,,
voli disponibili,fco,tia,2024-02-11 16:55:00,roma,tirana,albania,5,1,manuale,,
voli solo visualizzati,vce,lhr,2024-02-12 00:00:00,venezia,londra,regno unito,4,1,,,
allarmi generati,bgy,tia,2024-02-03 06:10:00,bergamo,tirana,albania,2,5,,,
voli disponibili,vce,edi,2024-01-23 15:00:00,venezia,edinburgh,regno unito,4,1,interpol,,
voli disponibili,blq,lhr,2024-02-11 19:25:00,bologna,londra,regno unito,8,1,sdi,,
allarmi generati,bgy,tia,2024-01-15 17:10:00,bergamo,tirana,albania,2,30,,,
voli disponibili,mxp,beg,2024-01-01 00:00:00,milano,belgrado,serbia,2,1,interpol,,
voli disponibili,mxp,jfk,2024-01-17 22:20:00,milano,new york,stati uniti,2,,manuale,,
voli solo visualizzati,cia,stn,2024-02-14 18:00:00,roma,londra,regno unito,5,1,sdi,,
viaggiatori investigati,bgy,shj,2024-02-07 07:15:00,bergamo,sharjah,emirati arabi uniti,2,148,interpol,,
viaggiatori investigati,vrn,tia,2024-01-31 21:15:00,verona,tirana,albania,4,145,interpol,,
viaggiatori con allarmi,mxp,dss,2024-01-14 21:00:00,milano,dakar,senegal,2,,,,
viaggiatori con allarmi,bgy,ssh,2024-02-17 15:35:00,bergamo,sharm el sheikh,egitto,2,5,interpol,,
voli con allarmi,tsf,tia,2024-02-08 20:15:00,treviso,tirana,albania,4,1,manuale,,
allarmi generati,mxp,lhr,2024-01-30 11:40:00,milano,londra,regno unito,2,3,,,
viaggiatori investigati,vce,rmo,2024-02-10 13:20:00,venezia,chisinau,moldavia,4,179,interpol,,
voli disponibili,fco,del,2024-01-01 00:00:00,roma,nuova delhi,india,5,1,,,
allarmi generati,fco,lgw,2024-02-16 16:40:00,roma,londra,regno unito,5,1,,,
viaggiatori investigati,fco,doh,2024-02-11 15:35:00,roma,doha,qatar,5,0,tsc,,
viaggiatori con allarmi,nap,ltn,2024-01-05 06:30:00,napoli,londra,regno unito,6,4,interpol,,
viaggiatori con allarmi,fco,lhr,2024-01-02 09:20:00,roma,londra,regno unito,5,3,nsis,,
voli investigati,bgy,saw,2024-02-15 11:10:00,bergamo,istanbul,turchia,2,1,interpol,,
viaggiatori entrati,fco,tgd,2024-01-19 10:20:00,roma,podgorica,montenegro,5,46,,,
voli investigati,fco,skp,2024-01-03 19:20:00,roma,skopje,macedonia,5,1,nsis,,
allarmi chiusi,vrn,lgw,2024-01-15 06:30:00,verona,londra,regno unito,4,5,manuale,,
allarmi generati,bgy,bfs,2024-01-12 09:15:00,bergamo,belfast,regno unito,2,1,,,
voli investigati,blq,tun,2024-02-26 08:00:00,bologna,tunisi,tunisia,8,1,interpol,,
esito negativo,mxp,skp,2024-02-26 19:50:00,milano,skopje,macedonia,2,20,,,
voli solo visualizzati,trn,ncl,2024-01-14 06:00:00,torino,newcastle,regno unito,1,1,interpol,,
allarmi generati,fco,bah,2024-01-10 01:40:00,roma,manama,bahrain,5,4,interpol,,
allarmi rilevanti,fco,tia,2024-01-17 06:10:00,roma,tirana,albania,5,4,sdi,,
viaggiatori con allarmi,lin,lhr,2024-01-02 00:00:00,milano,londra,regno unito,2,3,tsc,,
viaggiatori con allarmi,cia,stn,2024-02-28 06:15:00,roma,londra,regno unito,5,3,sdi,,
