occorrenze,areoporto_arrivo,areoporto_partenza,anno_partenza,mese_partenza,data_partenza,descr_aereoporto_arr,descr_aereoporto_part,citta_arr,citta_partenza,codice_paese_arr,codice_paese_part,paese_arr,paese_part,zona,tot,motivo_allarme,note_operatore,flag_rischio,paese_partenza,codice_paese_arr__1,col_3zona,paese_arr__1,tot_voli
allarmi generati da sdi/nsis,mxp,kwi,2024,1,2024-01-28 08:25:00,malpensa,kuwait international,milano,kuwait city,ita,kwt,italia,kuwait,2,9.0,nsis,,,kuwait,ita,2,italia,9.0
voli disponibili in ingresso al sistema,lin,lhr,2024,1,2024-01-30 10:15:00,linate,london heathrow,milano,londra,ita,gbr,italia,regno unito,2,1.0,tsc,,,regno unito,ita,2,italia,1.0
nulla a procedere sdi,mxp,doh,2024,2,2024-02-12 15:30:00,malpensa,hamad international,milano,doha,ita,qat,italia,qatar,2,12.0,sdi,,,qatar,ita,2,italia,12.0
viaggiatori con allarmi,vce,lhr,2024,2,2024-02-07 17:00:00,venezia marco polo,london heathrow,venezia,londra,ita,gbr,italia,regno unito,4,4.0,,,,regno unito,ita,4,italia,4.0
"voli solo visualizzati, ma non investigati",mxp,amm,2024,1,2024-01-05 10:45:00,malpensa,queen alia international,milano,amman,ita,jor,italia,giordania,2,1.0,interpol,,,giordania,ita,2,italia,1.0
voli con allarmi,fco,jfk,2024,2,2024-02-08 19:45:00,fiumicino,john f kennedy international,roma,new york,ita,usa,italia,stati uniti,5,1.0,,,,stati uniti,ita,5,italia,1.0
viaggiatori entrati nel sistema,nap,lgw,2024,1,2024-01-28 14:20:00,napoli capodichino,london gatwick,napoli,londra,ita,gbr,italia,regno unito,6,168.0,nsis,,,regno unito,ita,6,italia,168.0
allarmi generati da sdi/nsis,mxp,adb,2024,1,2024-01-08 11:45:00,malpensa,adnan menderes,milano,smirne,ita,tur,italia,turchia,2,5.0,,,,turchia,ita,2,italia,5.0
voli investigati (sdi/nsis - interpol - tsc),mxp,cai,2024,2,,malpensa,cairo international,milano,cairo,ita,egy,italia,egitto,2,1.0,nsis,,,egitto,ita,2,italia,1.0
"voli solo visualizzati, ma non investigati",cta,dxb,2024,2,2024-02-18 07:35:00,fontanarossa,dubai international,catania,dubai,ita,are,italia,emirati arabi uniti,7,1.0,,,,emirati arabi uniti,ita,7,italia,1.0
nulla a procedere sdi,tsf,tia,2024,2,2024-02-29 15:30:00,treviso-sant'angelo,rinas mother teresa,treviso,tirana,ita,alb,italia,albania,4,27.0,tsc,,,albania,ita,4,italia,27.0
voli investigati (sdi/nsis - interpol - tsc),mxp,beg,2024,1,2024-01-03 07:00:00,malpensa,nikola tesla,milano,belgrado,ita,srb,italia,serbia,2,1.0,interpol,,,serbia,ita,2,italia,1.0
viaggiatori entrati nel sistema,blq,tia,2024,1,2024-01-01 11:15:00,guglielmo marconi,,bologna,tirana,ita,alb,italia,albania,8,178.0,manuale,,,albania,ita,8,italia,178.0
allarmi generati da sdi/nsis,bgy,rak,2024,2,2024-02-21 06:10:00,orio al serio,menara,bergamo,marrakech,ita,mar,italia,marocco,2,19.0,interpol,,,marocco,ita,2,italia,19.0
viaggiatori con allarmi,trn,stn,2024,2,2024-02-08 06:30:00,sandro pertini,stansted,torino,londra,ita,gbr,italia,regno unito,1,1.0,manuale,,,regno unito,ita,1,italia,1.0
viaggiatori entrati nel sistema,bgy,lgw,2024,2,2024-02-23 13:00:00,orio al serio,,bergamo,londra,ita,gbr,italia,regno unito,2,94.0,manuale,,,regno unito,ita,2,italia,94.0
voli disponibili in ingresso al sistema,fco,beg,2024,1,2024-01-28 18:05:00,fiumicino,nikola tesla,roma,belgrado,ita,srb,italia,serbia,5,1.0,nsis,,,serbia,ita,5,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),vce,lhr,2024,1,2024-01-24 13:40:00,venezia marco polo,london heathrow,venezia,londra,ita,gbr,italia,regno unito,4,1.0,interpol,,,regno unito,ita,4,italia,1.0
nulla a procedere sdi,bri,stn,2024,1,,palese,stansted,bari,londra,ita,gbr,italia,regno unito,9,11.0,manuale,,,regno unito,ita,9,italia,11.0
viaggiatori entrati nel sistema,vrn,lgw,2024,2,2024-02-11 10:10:00,verona villafranca,london gatwick,verona,londra,ita,gbr,italia,regno unito,4,194.0,sdi,,,regno unito,ita,4,italia,194.0
viaggiatori entrati nel sistema,fco,beg,2023,1,2024-01-03 18:05:00,fiumicino,nikola tesla,roma,belgrado,ita,srb,italia,serbia,5,121.0,interpol,,,serbia,ita,5,italia,121.0
voli disponibili in ingresso al sistema,fco,lgw,2024,4,2024-02-16 09:40:00,fiumicino,london gatwick,roma,londra,fra,gbr,italia,regno unito,5,1.0,tsc,,,regno unito,ita,5,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),lin,lcy,2024,2,2024-02-07 08:30:00,linate,london city,milano,londra,ita,gbr,italia,regno unito,2,1.0,,,,regno unito,ita,2,italia,1.0
allarmi generati da bcs,mxp,jfk,2024,2,2024-02-25 18:15:00,malpensa,john f kennedy international,milano,new york,ita,usa,italia,stati uniti,2,2.0,tsc,,,stati uniti,ita,2,italia,2.0
viaggiatori entrati nel sistema,blq,lhr,2024,2,2024-02-23 19:35:00,guglielmo marconi,london heathrow,bologna,londra,ita,gbr,italia,regno unito,8,95.0,tsc,,,regno unito,ita,8,italia,95.0
allarmi generati da sdi/nsis,fco,lhr,2024,1,2024-01-06 06:55:00,fiumicino,london heathrow,roma,londra,ita,gbr,italia,regno unito,5,2.0,interpol,,,regno unito,ita,5,italia,2.0
voli investigati (sdi/nsis - interpol - tsc),fco,ist,2024,1,2024-01-28 13:05:00,fiumicino,,roma,,ita,tur,italia,turchia,5,1.0,interpol,,,turchia,ita,5,italia,1.0
voli con allarmi,fco,jfk,2024,1,2024-01-04 21:00:00,fiumicino,,roma,new york,ita,usa,italia,,5,1.0,interpol,,,stati uniti,ita,5,italia,1.0
nulla a procedere sdi,cia,stn,2024,1,2024-01-12 06:20:00,ciampino,stansted,roma,londra,ita,gbr,italia,regno unito,5,,nsis,,,regno unito,ita,5,italia,
voli disponibili in ingresso al sistema,vce,lhr,2024,1,2024-01-21 13:05:00,venezia marco polo,london heathrow,venezia,londra,ita,gbr,italia,regno unito,4,1.0,,,,regno unito,ita,4,italia,1.0
errata segnalazione nsis,fco,jfk,2024,2,2024-02-10 19:45:00,fiumicino,john f kennedy international,roma,new york,ita,usa,italia,stati uniti,5,1.0,,,,stati uniti,ita,5,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),bgy,tia,2024,1,2024-01-14 12:10:00,orio al serio,rinas mother teresa,bergamo,tirana,ita,alb,italia,albania,2,2.0,tsc,,,albania,ita,2,italia,2.0
errata segnalazione bcs,fco,wnz,2024,1,2024-01-11 11:00:00,fiumicino,wenzhou,roma,wenzhou,ita,chn,italia,cina,5,4.0,,,,cina,ita,5,italia,4.0
"voli solo visualizzati, ma non investigati",fco,tia,2024,1,2024-01-11 15:05:00,fiumicino,rinas mother teresa,roma,tirana,ita,alb,italia,albania,5,1.0,tsc,,,albania,ita,5,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),blq,ist,2024,2,2024-02-05 13:00:00,guglielmo marconi,havalimani,bologna,istanbul,ita,tur,italia,turchia,8,1.0,,,,turchia,ita,8,italia,1.0
viaggiatori con allarmi,fco,lhr,2024,2,2024-02-09 19:10:00,fiumicino,london heathrow,roma,londra,tur,gbr,italia,regno unito,5,3.0,manuale,,,regno unito,ita,5,italia,3.0
viaggiatori entrati nel sistema,cia,stn,2024,2,2024-02-11 17:50:00,ciampino,stansted,roma,londra,ita,gbr,italia,regno unito,5,182.0,interpol,,,regno unito,ita,5,italia,182.0
allarmi generati da sdi/nsis,fco,gig,2024,2,,fiumicino,galeao-antonio carlos jobim international,roma,rio de janeiro,ita,bra,italia,brasile,5,1.0,,,alto,brasile,ita,5,italia,1.0
allarmi generati da sdi/nsis,cta,tia,2024,2,2024-02-05 12:55:00,fontanarossa,rinas mother teresa,catania,tirana,ita,alb,italia,albania,7,8.0,manuale,,,albania,ita,7,italia,8.0
viaggiatori investigati,mxp,doh,2024,1,2024-01-14 02:20:00,malpensa,hamad international,milano,doha,ita,qat,italia,qatar,2,276.0,,,,qatar,ita,2,italia,276.0
viaggiatori entrati nel sistema,fco,hnd,2024,2,2024-02-23 13:20:00,fiumicino,tokyo international (haneda),roma,tokyo,ita,//,italia,giappone,5,293.0,sdi,,,giappone,ita,5,italia,293.0
"voli solo visualizzati, ma non investigati",bgy,lgw,2024,1,2024-01-07 06:50:00,orio al serio,london gatwick,bergamo,londra,ita,gbr,italia,regno unito,2,1.0,nsis,,,regno unito,ita,2,italia,1.0
allarmi generati da sdi/nsis,vce,dwc,2024,2,2024-02-14 10:38:00,venezia marco polo,al maktoum international,venezia,dubai,ita,are,italia,emirati arabi uniti,4,1.0,interpol,,,emirati arabi uniti,ita,4,italia,1.0
voli con allarmi,mxp,ist,2024,2,2024-02-16 16:10:00,malpensa,havalimani,milano,istanbul,ita,tur,italia,turchia,2,1.0,interpol,,,turchia,ita,2,italia,1.0
viaggiatori con allarmi,mxp,beg,2024,8,2024-01-01 18:00:00,malpensa,nikola tesla,milano,belgrado,ita,srb,italia,serbia,2,4.0,,,,serbia,ita,2,italia,4.0
viaggiatori con allarmi,bgy,tia,2024,1,2024-01-20 08:20:00,orio al serio,rinas mother teresa,bergamo,tirana,ita,alb,italia,albania,2,14.0,interpol,,,albania,ita,2,italia,14.0
voli investigati (sdi/nsis - interpol - tsc),cta,stn,2024,1,2024-01-10 14:35:00,fontanarossa,stansted,catania,londra,ita,gbr,italia,regno unito,7,1.0,,,,regno unito,ita,7,italia,1.0
voli con allarmi,nap,ist,2024,2,2024-02-17 17:55:00,napoli capodichino,havalimani,napoli,istanbul,ita,tur,italia,turchia,6,1.0,nsis,,,turchia,ita,6,italia,1.0
viaggiatori investigati,mxp,auh,2024,1,2024-01-19 14:45:00,malpensa,abu dhabi international,milano,abu dhabi,ita,ae,italia,emirati arabi uniti,2,279.0,manuale,,,emirati arabi uniti,ita,2,italia,279.0
viaggiatori entrati nel sistema,fco,dmm,2024,2,2024-02-17 20:40:00,fiumicino,king fahd international,roma,dammam,ita,sau,italia,arabia saudita,5,205.0,tsc,,,arabia saudita,ita,5,italia,205.0
voli disponibili in ingresso al sistema,fco,beg,2024,2,,fiumicino,nikola tesla,roma,belgrado,fra,srb,italia,serbia,5,1.0,,,,serbia,ita,5,italia,1.0
"voli solo visualizzati, ma non investigati",bgy,saw,2024,2,2024-02-28 10:35:00,orio al serio,sabiha gokcen,bergamo,istanbul,ita,tur,italia,//,2,1.0,tsc,,,turchia,ita,2,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),mxp,ssh,2023,2,2024-02-25 13:10:00,malpensa,sharm el-sheikh international,milano,sharm el sheikh,ita,egy,italia,egitto,2,1.0,manuale,,,egitto,ita,2,italia,1.0
viaggiatori entrati nel sistema,mxp,cai,2024,1,2024-01-01 10:00:00,malpensa,cairo international,milano,cairo,ita,egy,italia,egitto,2,155.0,nsis,,,egitto,ita,2,italia,155.0
allarmi chiusi,mxp,ist,2023,1,2024-01-15 12:35:00,malpensa,havalimani,milano,istanbul,ita,tur,italia,turchia,2,19.0,sdi,,,turchia,ita,2,italia,19.0
"voli solo visualizzati, ma non investigati",mxp,yul,2024,1,2024-01-11 20:30:00,malpensa,montreal-pierre elliott trudeau international,milano,montreal,ita,can,italia,canada,2,1.0,interpol,,,canada,ita,2,italia,1.0
"voli solo visualizzati, ma non investigati",fco,tfu,2024,2,2024-02-06 01:45:00,fiumicino,tianfu international,roma,chengdu,ita,chn,italia,cina,5,1.0,interpol,,,cina,ita,5,italia,1.0
voli con allarmi,fco,saw,2024,2,2024-02-05 15:35:00,fiumicino,sabiha gokcen,roma,istanbul,ita,tur,italia,turchia,5,1.0,,,,turchia,ita,5,italia,1.0
voli disponibili in ingresso al sistema,trn,tia,2024,1,2024-01-01 06:55:00,sandro pertini,rinas mother teresa,torino,tirana,ita,alb,italia,albania,1,1.0,tsc,,,albania,ita,1,italia,1.0
viaggiatori entrati nel sistema,fco,gru,2024,1,2024-01-06 15:45:00,fiumicino,sao paulo/guarulhos-governador andre franco montoro international,roma,san paolo,ita,bra,italia,brasile,5,288.0,nsis,,,brasile,ita,5,italia,288.0
viaggiatori investigati,fco,ssh,2024,,2024-02-17 12:05:00,fiumicino,sharm el-sheikh international,roma,sharm el sheikh,ita,egy,italia,egitto,5,175.0,,,,egitto,ita,5,italia,175.0
voli disponibili in ingresso al sistema,vce,stn,2024,1,2024-01-08 18:00:00,venezia marco polo,stansted,venezia,londra,ita,gbr,italia,regno unito,4,1.0,interpol,,,regno unito,ita,4,italia,1.0
voli con allarmi,blq,saw,2024,1,2024-01-04 11:30:00,guglielmo marconi,sabiha gokcen,bologna,istanbul,ita,tur,italia,turchia,8,1.0,sdi,,,turchia,ita,8,italia,1.0
viaggiatori entrati nel sistema,fco,cai,2023,2,2024-02-26 04:30:00,fiumicino,cairo international,roma,cairo,ita,egy,italia,egitto,5,156.0,manuale,,,egitto,ita,5,italia,156.0
voli disponibili in ingresso al sistema,mxp,beg,2023,1,2024-01-15 19:20:00,malpensa,nikola tesla,milano,belgrado,ita,srb,italia,serbia,2,1.0,interpol,,,serbia,ita,2,italia,1.0
"voli solo visualizzati, ma non investigati",cia,stn,2024,2,2024-02-01 17:00:00,ciampino,stansted,roma,londra,ita,gbr,italia,regno unito,5,,manuale,,,regno unito,ita,5,italia,1.0
voli con allarmi,mxp,skp,2024,2,2024-02-05 19:40:00,malpensa,petrovec,milano,skopie,ita,mkd,italia,macedonia,2,1.0,tsc,,,macedonia,ita,2,italia,1.0
viaggiatori entrati nel sistema,blq,stn,2024,2,,guglielmo marconi,stansted,bologna,londra,ita,gbr,italia,regno unito,8,134.0,manuale,,,regno unito,ita,8,italia,134.0
voli disponibili in ingresso al sistema,mxp,lgw,2024,1,2024-01-08 19:45:00,malpensa,,milano,londra,ita,gbr,italia,regno unito,2,1.0,manuale,,,regno unito,ita,2,italia,1.0
allarmi generati da sdi/nsis,fco,saw,2024,2,2024-02-12 11:20:00,fiumicino,sabiha gokcen,roma,istanbul,ita,tur,italia,turchia,5,7.0,tsc,,,turchia,ita,5,italia,7.0
voli investigati (sdi/nsis - interpol - tsc),vce,rmo,2024,1,2024-01-27 13:20:00,venezia marco polo,chisinau international airport,venezia,chisinau,ita,mda,italia,moldavia,4,1.0,nsis,,,moldavia,ita,4,italia,1.0
allarmi chiusi,mxp,dxb,2024,2,2024-02-18 15:55:00,malpensa,,milano,dubai,ita,are,italia,emirati arabi uniti,2,22.0,,,,emirati arabi uniti,ita,2,italia,22.0
"voli solo visualizzati, ma non investigati",mxp,bah,2024,2,2024-02-27 01:40:00,malpensa,bahrain international,milano,manama,ita,bhr,italia,bahrain,2,1.0,sdi,,,bahrain,ita,2,italia,1.0
voli con allarmi,mxp,dxb,2024,,2024-01-26 15:55:00,malpensa,dubai international,milano,dubai,ita,are,italia,emirati arabi uniti,2,1.0,,,,emirati arabi uniti,ita,2,italia,1.0
viaggiatori entrati nel sistema,vce,lgw,2024,1,2024-01-07 18:35:00,venezia marco polo,london gatwick,venezia,londra,ita,gbr,italia,regno unito,4,172.0,tsc,,,regno unito,ita,4,italia,172.0
nulla a procedere sdi,fco,lhr,2024,1,2024-01-08 14:20:00,fiumicino,london heathrow,roma,,ita,gbr,italia,regno unito,5,3.0,tsc,,,regno unito,ita,5,italia,3.0
viaggiatori investigati,bgy,stn,2024,2,2024-02-02 13:55:00,orio al serio,stansted,bergamo,londra,ita,gbr,italia,regno unito,2,160.0,manuale,,,regno unito,ita,2,italia,160.0
"voli solo visualizzati, ma non investigati",fco,auh,2024,2,2024-02-05 02:25:00,fiumicino,abu dhabi international,roma,abu dhabi,ita,are,italia,emirati arabi uniti,5,1.0,interpol,,,emirati arabi uniti,ita,5,italia,1.0
voli disponibili in ingresso al sistema,fco,jed,2024,1,2024-01-04 10:20:00,fiumicino,king abdulaziz international,roma,jeddah,ita,sau,italia,arabia saudita,5,1.0,tsc,,,arabia saudita,ita,5,italia,1.0
voli disponibili in ingresso al sistema,nap,lgw,2023,2,2024-02-19 18:40:00,napoli capodichino,london gatwick,napoli,londra,ita,gbr,italia,regno unito,6,1.0,tsc,,,regno unito,ita,6,italia,1.0
viaggiatori entrati nel sistema,blq,lhr,2024,4,2024-01-22 08:50:00,guglielmo marconi,london heathrow,bologna,londra,ita,gbr,italia,regno unito,8,167.0,,,,regno unito,ita,8,italia,167.0
voli investigati (sdi/nsis - interpol - tsc),fco,lgw,2023,2,2024-02-06 21:15:00,fiumicino,london gatwick,roma,londra,ita,gbr,italia,regno unito,5,1.0,nsis,,,regno unito,ita,5,italia,1.0
nulla a procedere sdi,lin,lhr,2024,1,2024-01-23 10:15:00,linate,,milano,londra,ita,gbr,italia,regno unito,2,4.0,tsc,,,regno unito,ita,2,italia,4.0
allarmi generati da sdi/nsis,vce,edi,2024,1,,venezia marco polo,edinburgh,venezia,edinburgh,ita,gbr,italia,regno unito,4,5.0,manuale,,,regno unito,ita,4,italia,5.0
voli con allarmi,trn,lgw,2024,1,2024-01-18 15:40:00,sandro pertini,london gatwick,torino,londra,ita,gbr,italia,regno unito,1,1.0,,,,regno unito,ita,1,italia,1.0
voli con allarmi,mxp,cmn,,2,2024-02-19 13:00:00,malpensa,mohamed v,milano,casablanca,ita,mar,italia,marocco,2,1.0,sdi,,,marocco,ita,2,italia,1.0
voli con allarmi,mxp,pvg,2024,2,2024-02-11 01:45:00,malpensa,pu dong,milano,shanghai,ita,chn,italia,cina,2,1.0,,,,cina,ita,2,italia,1.0
viaggiatori entrati nel sistema,trn,lgw,2024,2,2024-02-02 17:50:00,sandro pertini,london gatwick,torino,londra,ita,gbr,italia,regno unito,1,143.0,nsis,,,regno unito,ita,1,italia,143.0
allarmi chiusi,fco,dxb,2024,1,2024-01-22 08:55:00,fiumicino,dubai international,roma,dubai,ita,are,italia,emirati arabi uniti,5,21.0,interpol,,,emirati arabi uniti,ita,5,italia,21.0
viaggiatori con allarmi,fco,auh,2024,2,2024-02-17 17:45:00,fiumicino,abu dhabi international,roma,abu dhabi,ita,are,italia,emirati arabi uniti,5,8.0,sdi,,,emirati arabi uniti,ita,5,italia,8.0
allarmi chiusi,mxp,ssh,2024,1,,malpensa,sharm el-sheikh international,milano,sharm el sheikh,ita,egy,italia,egitto,2,17.0,sdi,,,egitto,ita,2,italia,17.0
viaggiatori investigati,bgy,dxb,2024,1,2024-01-22 18:00:00,orio al serio,dubai international,bergamo,dubai,ita,,italia,emirati arabi uniti,2,102.0,interpol,,,emirati arabi uniti,ita,2,italia,102.0
viaggiatori entrati nel sistema,pmo,tun,2024,1,2024-01-01 10:30:00,punta raisi,carthage,palermo,,ita,tun,italia,tunisia,7,38.0,nsis,,,tunisia,ita,7,italia,38.0
viaggiatori entrati nel sistema,fco,ist,2024,2,2024-02-10 17:55:00,fiumicino,havalimani,roma,istanbul,ita,tur,italia,turchia,5,144.0,,,,turchia,ita,5,italia,144.0
viaggiatori entrati nel sistema,mxp,yyz,2024,1,2024-01-08 23:45:00,malpensa,lester b pearson international,milano,toronto,ita,can,italia,canada,2,301.0,interpol,,,canada,ita,2,italia,301.0
allarmi generati da sdi/nsis,fco,gig,2024,2,2024-02-09 15:45:00,fiumicino,galeao-antonio carlos jobim international,roma,rio de janeiro,ita,bra,italia,brasile,5,2.0,,,,brasile,ita,5,italia,2.0
viaggiatori entrati nel sistema,mxp,doh,2024,1,2024-01-04 15:30:00,malpensa,hamad international,milano,doha,ita,qat,italia,qatar,2,262.0,,,,qatar,ita,2,italia,262.0
viaggiatori investigati,bgy,stn,2023,1,2024-01-05 11:30:00,orio al serio,stansted,bergamo,londra,ita,gbr,italia,regno unito,2,166.0,,,,regno unito,ita,2,italia,166.0
viaggiatori entrati nel sistema,vce,ist,2024,2,2024-02-11 08:10:00,venezia marco polo,havalimani,venezia,istanbul,ita,tur,italia,turchia,4,166.0,tsc,,,turchia,ita,4,italia,166.0
voli disponibili in ingresso al sistema,vce,stn,2024,1,2024-01-27 20:15:00,venezia marco polo,stansted,venezia,londra,ita,gbr,italia,regno unito,4,1.0,tsc,,,regno unito,ita,4,italia,1.0
voli con allarmi,bgy,man,2024,3,2024-01-27 08:25:00,orio al serio,manchester,bergamo,manchester,ita,gbr,italia,regno unito,2,1.0,sdi,,,regno unito,ita,2,italia,1.0
voli disponibili in ingresso al sistema,mxp,jfk,2024,1,2024-01-29 19:40:00,malpensa,john f kennedy international,milano,new york,ita,usa,italia,stati uniti,2,1.0,,,,stati uniti,ita,2,italia,1.0
viaggiatori investigati,bgy,dxb,2024,1,2024-01-26 18:00:00,orio al serio,dubai international,bergamo,dubai,ita,ae,italia,emirati arabi uniti,2,113.0,manuale,,,emirati arabi uniti,ita,2,italia,113.0
allarmi rilevanti,psa,rak,2024,1,2024-01-28 06:05:00,galileo galilei,menara,pisa,marrakech,ita,mar,italia,marocco,8,2.0,sdi,,,marocco,ita,8,italia,2.0
"voli solo visualizzati, ma non investigati",tsf,tia,2024,2,2024-02-12 09:00:00,treviso-sant'angelo,rinas mother teresa,treviso,tirana,ita,al,italia,albania,??,1.0,,,,albania,ita,4,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),mxp,rak,2024,12,2024-01-04 20:05:00,malpensa,menara,milano,marrakech,ita,mar,italia,marocco,2,1.0,manuale,,,marocco,ita,2,italia,1.0
allarmi chiusi,fco,jfk,2024,2,,fiumicino,john f kennedy international,roma,new york,ita,usa,italia,stati uniti,5,4.0,manuale,,,stati uniti,ita,5,italia,4.0
viaggiatori entrati nel sistema,bgy,ema,2024,2,2024-02-16 12:05:00,orio al serio,east midlands,bergamo,derby,ita,gbr,italia,regno unito,2,179.0,,,,regno unito,ita,2,italia,179.0
allarmi generati da sdi/nsis,fco,gla,,2,2024-02-09 06:55:00,fiumicino,glasgow international,roma,glasgow,ita,gbr,italia,regno unito,5,1.0,sdi,,,regno unito,ita,5,italia,1.0
voli disponibili in ingresso al sistema,tsf,tia,2024,7,2024-01-05 19:05:00,treviso-sant'angelo,,treviso,tirana,ita,alb,italia,albania,4,1.0,tsc,,,albania,ita,4,italia,1.0
viaggiatori investigati,mxp,cai,2024,1,2024-01-04 09:35:00,malpensa,cairo international,milano,cairo,ita,egy,italia,egitto,2,155.0,tsc,,,egitto,ita,2,italia,155.0
voli con allarmi,mxp,sll,2024,1,2024-01-15 02:20:00,malpensa,salalah,milano,salalah,ita,omn,italia,oman,2,1.0,interpol,,,oman,ita,2,italia,1.0
viaggiatori entrati nel sistema,cia,dwc,2024,1,2024-01-21 14:30:00,ciampino,al maktoum international,roma,dubai,ita,are,italia,emirati arabi uniti,5,1.0,,,,emirati arabi uniti,ita,5,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),fco,hnd,2024,1,2024-01-17 13:20:00,fiumicino,tokyo international (haneda),roma,tokyo,ita,jpn,italia,giappone,5,1.0,nsis,,,giappone,ita,5,italia,1.0
viaggiatori investigati,fco,bos,2023,1,2024-01-07 17:20:00,fiumicino,logan international,roma,boston,ita,usa,italia,stati uniti,5,0.0,manuale,,,stati uniti,ita,5,italia,0.0
voli con allarmi,flr,lcy,2024,2,2024-02-07 11:25:00,firenze peretola,london city,firenze,londra,ita,gbr,italia,regno unito,8,1.0,sdi,,,regno unito,ita,8,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),mxp,cai,2024,1,2024-01-01 09:35:00,malpensa,cairo international,milano,cairo,ita,egy,italia,egitto,2,1.0,interpol,,,egitto,ita,2,italia,1.0
voli disponibili in ingresso al sistema,mxp,ssh,2024,2,2024-02-22 15:55:00,malpensa,sharm el-sheikh international,milano,sharm el sheikh,ita,egy,italia,egitto,2,1.0,manuale,,,egitto,ita,2,italia,1.0
"voli solo visualizzati, ma non investigati",blq,stn,2024,2,,guglielmo marconi,stansted,bologna,londra,ita,gbr,italia,regno unito,8,1.0,manuale,,,regno unito,ita,8,italia,1.0
"voli solo visualizzati, ma non investigati",bgy,tia,2024,1,2024-01-16 10:15:00,orio al serio,rinas mother teresa,bergamo,tirana,ita,alb,italia,albania,2,1.0,sdi,,,albania,ita,2,italia,1.0
allarmi chiusi,tsf,tia,2024,2,2024-02-28 16:05:00,treviso-sant'angelo,rinas mother teresa,treviso,tirana,ita,alb,italia,albania,4,12.0,nsis,,,albania,ita,4,italia,12.0
nulla a procedere sdi,mxp,jed,2024,1,2024-01-29 19:30:00,malpensa,king abdulaziz international,milano,jeddah,ita,sau,italia,arabia saudita,2,,tsc,,,arabia saudita,ita,2,italia,11.0
voli investigati (sdi/nsis - interpol - tsc),fco,jfk,2024,2,2024-02-02 19:45:00,fiumicino,john f kennedy international,roma,new york,ita,usa,italia,stati uniti,5,1.0,tsc,,,stati uniti,ita,5,italia,1.0
"voli solo visualizzati, ma non investigati",cia,stn,2024,1,2024-01-31 18:00:00,ciampino,stansted,roma,londra,ita,gbr,italia,regno unito,5,0.0,,,,regno unito,ita,5,italia,1.0
"voli solo visualizzati, ma non investigati",vce,lgw,2024,1,2024-01-27 09:10:00,venezia marco polo,london gatwick,venezia,londra,ita,gbr,italia,regno unito,4,1.0,,,,regno unito,ita,4,italia,1.0
viaggiatori investigati,flr,lgw,2024,1,2024-01-02 14:58:00,firenze peretola,london gatwick,firenze,londra,ita,gbr,italia,regno unito,8,112.0,sdi,,,regno unito,ita,8,italia,112.0
voli con allarmi,vce,rmo,2024,1,2024-01-27 13:20:00,venezia marco polo,chisinau international airport,venezia,chisinau,ita,mda,italia,moldavia,4,1.0,sdi,,,moldavia,ita,4,italia,1.0
viaggiatori con allarmi,trn,man,2024,1,,sandro pertini,manchester,torino,manchester,ita,gbr,italia,regno unito,1,7.0,sdi,,,regno unito,ita,1,italia,7.0
"voli solo visualizzati, ma non investigati",bgy,tia,2024,2,2024-02-22 12:10:00,orio al serio,rinas mother teresa,bergamo,tirana,ita,al,italia,albania,2,1.0,manuale,,,albania,ita,2,italia,1.0
nulla a procedere sdi,bgy,lgw,2024,2,2024-02-18 06:50:00,orio al serio,,bergamo,,ita,gbr,italia,regno unito,2,2.0,sdi,,,regno unito,ita,2,italia,1.0
nulla a procedere sdi,blq,tia,2024,1,2024-01-01 11:15:00,guglielmo marconi,rinas mother teresa,bologna,tirana,ita,alb,italia,albania,8,35.0,tsc,,,albania,ita,8,italia,35.0
allarmi generati da sdi/nsis,vce,cmn,2024,2,2024-02-03 07:50:00,venezia marco polo,mohamed v,venezia,casablanca,ita,mar,italia,marocco,4,39.0,,,,marocco,ita,4,italia,39.0
allarmi generati da sdi/nsis,bgy,dxb,2023,2,2024-02-17 18:00:00,orio al serio,dubai international,bergamo,dubai,ita,are,italia,emirati arabi uniti,2,8.0,sdi,,,emirati arabi uniti,ita,2,italia,8.0
"voli solo visualizzati, ma non investigati",flr,lgw,2024,2,2024-02-10 14:55:00,firenze peretola,london gatwick,firenze,londra,ita,gbr,italia,regno unito,8,1.0,tsc,,,regno unito,ita,8,italia,1.0
viaggiatori investigati,fco,bhx,2024,2,2024-02-09 07:15:00,fiumicino,birmingham international,roma,birmingham,ita,gbr,italia,regno unito,5,188.0,manuale,,,regno unito,ita,5,italia,188.0
voli investigati (sdi/nsis - interpol - tsc),mxp,tun,2024,2,2024-02-10 07:45:00,malpensa,carthage,milano,tunis,ita,tun,italia,tunisia,2,1.0,nsis,,,tunisia,ita,2,italia,1.0
voli disponibili in ingresso al sistema,fco,lgw,2024,2,2024-02-10 10:00:00,fiumicino,london gatwick,roma,londra,ita,gbr,italia,regno unito,5,1.0,,,,regno unito,ita,5,italia,1.0
