occorrenze,areoporto_arrivo,areoporto_partenza,anno_partenza,mese_partenza,data_partenza,descr_aereoporto_arr,descr_aereoporto_part,citta_arr,citta_partenza,codice_paese_arr,codice_paese_part,paese_arr,paese_part,zona,tot,motivo_allarme,note_operatore,flag_rischio,paese_partenza,codice_paese_arr__1,col_3zona,paese_arr__1,tot_voli
viaggiatori entrati nel sistema,bgy,amm,2024,2,2024-02-14 21:35:00,orio al serio,queen alia international,bergamo,amman,ita,jor,italia,giordania,2,117.0,manuale,,,giordania,ita,2,italia,117.0
voli con allarmi,mxp,ssh,2024,2,2024-02-22 13:20:00,malpensa,sharm el-sheikh international,milano,sharm el sheikh,ita,egy,italia,egitto,2,1.0,nsis,,,egitto,ita,2,italia,1.0
viaggiatori con allarmi,bgy,stn,2024,1,2024-01-11 06:00:00,orio al serio,stansted,bergamo,londra,ita,gbr,italia,regno unito,2,1.0,,,,regno unito,ita,2,italia,1.0
"voli solo visualizzati, ma non investigati",nap,lhr,2024,1,2024-01-07 14:35:00,napoli capodichino,london heathrow,napoli,londra,ita,gbr,italia,regno unito,6,1.0,manuale,,,regno unito,ita,6,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),mxp,pek,2024,1,2024-01-07 01:35:00,malpensa,beijing capital international,milano,pechino,ita,,italia,cina,2,1.0,nsis,,,cina,ita,2,italia,1.0
voli disponibili in ingresso al sistema,fco,ewr,2024,2,2024-02-13 17:40:00,fiumicino,newark liberty international,roma,newark,ita,usa,italia,stati uniti,5,1.0,interpol,,,stati uniti,ita,5,italia,1.0
viaggiatori entrati nel sistema,mxp,sin,2024,1,2024-01-07 23:45:00,malpensa,changi,milano,singapore,ita,sgp,italia,singapore,2,247.0,manuale,,,singapore,ita,2,italia,247.0
viaggiatori investigati,flr,lgw,2024,2,2024-02-21 10:25:00,firenze peretola,london gatwick,firenze,londra,ita,gbr,italia,regno unito,8,124.0,manuale,,,regno unito,ita,8,italia,124.0
viaggiatori con allarmi,bgy,stn,2023,2,2024-02-08 17:50:00,orio al serio,stansted,bergamo,londra,ita,gbr,italia,regno unito,2,6.0,sdi,,,regno unito,ita,2,italia,6.0
allarmi generati da sdi/nsis,bgy,tia,2024,2,2024-02-27 10:15:00,orio al serio,rinas mother teresa,bergamo,tirana,ita,alb,italia,albania,2,27.0,tsc,,,albania,ita,2,italia,27.0
