dataset,group_key,group_volume,n_records,rate,baseline_mean,baseline_std
allarmi_raw,ika|fco,257.0,4,64.25,64.25,66.585158506482
allarmi_raw,ika|mxp,194.0,8,24.25,24.25,59.80145722065881
allarmi_raw,isl|lin,1.0,1,1.0,1.0,
allarmi_raw,ist|bgy,177.0,1,177.0,177.0,
allarmi_raw,ist|blq,1349.0,43,31.372093023255815,32.11904761904762,56.22220825892445
allarmi_raw,ist|bri,202.0,10,20.2,20.2,40.03276435898753
allarmi_raw,ist|cag,175.0,1,175.0,175.0,
allarmi_raw,ist|cta,284.0,19,14.947368421052632,14.947368421052632,26.755007182894293
allarmi_raw,ist|fco,2559.0,68,37.63235294117647,40.61904761904762,64.32538970242359
allarmi_raw,ist|mxp,2316.0,58,39.93103448275862,41.357142857142854,77.21456023113976
allarmi_raw,ist|nap,1176.0,34,34.588235294117645,36.75,54.471655843407035
allarmi_raw,ist|pmo,324.0,12,27.0,29.454545454545453,39.49522410713386
allarmi_raw,ist|psa,0.0,1,0.0,0.0,
allarmi_raw,ist|vce,2359.0,53,44.509433962264154,44.509433962264154,63.902456507949374
allarmi_raw,jed|fco,469.0,21,22.333333333333332,22.333333333333332,51.63364536165671
allarmi_raw,jed|mxp,691.0,29,23.82758620689655,24.678571428571427,49.231165657108626
allarmi_raw,jed|vce,212.0,2,106.0,106.0,148.49242404917499
allarmi_raw,jfk|fco,2251.0,52,43.28846153846154,46.895833333333336,89.13323509943292
allarmi_raw,jfk|mxp,2449.0,52,47.09615384615385,52.1063829787234,91.85414573554455
allarmi_raw,kiv|bgy,2.0,2,1.0,1.0,0.0
allarmi_raw,kiv|blq,22.0,3,7.333333333333333,7.333333333333333,10.96965511460289
allarmi_raw,kiv|fco,187.0,3,62.333333333333336,62.333333333333336,95.19628844305502
allarmi_raw,kiv|mxp,1.0,1,1.0,1.0,
allarmi_raw,kiv|pmf,1.0,1,1.0,1.0,
allarmi_raw,kiv|vce,8.0,1,8.0,8.0,
allarmi_raw,kiv|vrn,376.0,4,94.0,125.33333333333333,92.12129685004078
allarmi_raw,kut|fco,3.0,3,1.0,1.0,0.0
allarmi_raw,kut|mxp,243.0,9,27.0,27.0,69.56471806886016
allarmi_raw,kwi|fco,364.0,6,60.666666666666664,60.666666666666664,59.024288785775866
allarmi_raw,kwi|mxp,394.0,17,23.176470588235293,24.625,44.357449581026785
allarmi_raw,lax|lin,1.0,1,1.0,1.0,
allarmi_raw,lba|fco,187.0,2,93.5,93.5,130.8147545195113
allarmi_raw,lcy|blq,1.0,1,1.0,1.0,
allarmi_raw,lcy|flr,100605.0,27,3726.1111111111113,3726.1111111111113,19240.361875561593
allarmi_raw,lcy|lin,714.0,45,15.866666666666667,16.227272727272727,28.316207567286575
allarmi_raw,lgw|bgy,377.0,14,26.928571428571427,29.0,48.079794786029055
allarmi_raw,lgw|blq,3.0,4,0.75,1.0,0.0
allarmi_raw,lgw|cta,248.0,10,24.8,27.555555555555557,49.340934099161295
allarmi_raw,lgw|fco,2608.0,79,33.0126582278481,33.87012987012987,68.37827268206554
allarmi_raw,lgw|flr,1193.0,34,35.088235294117645,36.15151515151515,53.63308284778692
allarmi_raw,lgw|lin,21.0,8,2.625,2.625,1.922609833384967
allarmi_raw,lgw|mxp,103254.0,86,1200.6279069767443,1214.7529411764706,10842.38062607176
allarmi_raw,lgw|nap,1351.0,31,43.58064516129032,43.58064516129032,71.02101763729213
allarmi_raw,lgw|psa,310.0,10,31.0,34.44444444444444,64.46920022598215
allarmi_raw,lgw|trn,1279.0,41,31.195121951219512,32.794871794871796,58.67267789102679
allarmi_raw,lgw|vce,1201.0,52,23.096153846153847,24.02,52.33038294902719
allarmi_raw,lgw|vrn,937.0,32,29.28125,29.28125,61.462936313867885
allarmi_raw,lhr|blq,2084.0,63,33.07936507936508,34.733333333333334,59.6082882038972
allarmi_raw,lhr|fco,2665.0,97,27.47422680412371,28.05263157894737,54.04497111272786
allarmi_raw,lhr|lin,13131.0,101,130.009900990099,135.37113402061857,1013.732843253788
allarmi_raw,lhr|mxp,1573.0,56,28.089285714285715,29.12962962962963,47.95951370246804
allarmi_raw,lhr|nap,15.0,6,2.5,2.5,2.8106938645110393
allarmi_raw,lhr|psa,64.0,10,6.4,6.4,13.97776011304307
allarmi_raw,lhr|trn,89.0,1,89.0,89.0,
allarmi_raw,lhr|vce,2430.0,53,45.84905660377358,46.73076923076923,66.4745610740298
allarmi_raw,lpl|bgy,7.0,3,2.3333333333333335,2.3333333333333335,2.3094010767585034
allarmi_raw,lpl|cia,186.0,3,62.0,62.0,105.65509926170151
allarmi_raw,lrm|fco,25.0,1,25.0,25.0,
allarmi_raw,lrm|mxp,111.0,8,13.875,13.875,14.085833815777974
allarmi_raw,ltn|bgy,5.0,1,5.0,5.0,
